Dataset,Index,Stopwords,Parameters,Score,k_1,k_2,k_3,k_max,k_min
article,727,No stopwords,"{'vect__ngram_range': (1, 1), 'clf__metric': 'euclidean', 'vect__stop_words': None, 'vect__max_df': 0.85, 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'vect__max_features': 5000}",0.581560284,0.57722008,0.58800774,0.57945736,0.58800774,0.57722008
article,728,No stopwords,"{'vect__ngram_range': (1, 3), 'clf__metric': 'euclidean', 'vect__stop_words': None, 'vect__max_df': 0.7, 'tfidf__use_idf': True, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.581560284,0.57915058,0.58220503,0.58333333,0.58333333,0.57915058
article,729,No stopwords,"{'vect__ngram_range': (1, 3), 'clf__metric': 'cosine', 'vect__stop_words': None, 'vect__max_df': 0.7, 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'vect__max_features': 5000}",0.581560284,0.57722008,0.57253385,0.59496124,0.59496124,0.57253385
article,730,No stopwords,"{'vect__ngram_range': (1, 3), 'clf__metric': 'cosine', 'vect__stop_words': None, 'vect__max_df': 0.85, 'tfidf__use_idf': True, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.581560284,0.57722008,0.58027079,0.5872093,0.5872093,0.57722008
article,731,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'cosine', 'vect__stop_words': None, 'vect__max_df': 0.85, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.581560284,0.58494208,0.57059961,0.58914729,0.58914729,0.57059961
article,719,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'l2', 'vect__stop_words': None, 'vect__max_df': 0.85, 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'vect__max_features': 5000}",0.580915538,0.57722008,0.57833656,0.5872093,0.5872093,0.57722008
article,720,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'l2', 'vect__stop_words': None, 'vect__max_df': 1.0, 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'vect__max_features': 5000}",0.580915538,0.58108108,0.58027079,0.58139535,0.58139535,0.58027079
article,721,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'euclidean', 'vect__stop_words': None, 'vect__max_df': 0.85, 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'vect__max_features': 5000}",0.580915538,0.57722008,0.57833656,0.5872093,0.5872093,0.57722008
article,722,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'euclidean', 'vect__stop_words': None, 'vect__max_df': 1.0, 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'vect__max_features': 5000}",0.580915538,0.58108108,0.58027079,0.58139535,0.58139535,0.58027079
article,715,No stopwords,"{'vect__ngram_range': (1, 3), 'clf__metric': 'l2', 'vect__stop_words': None, 'vect__max_df': 1.0, 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'vect__max_features': 5000}",0.580270793,0.57335907,0.58220503,0.58527132,0.58527132,0.57335907
